source,cited,citation_analysis
10793117,27568809,positive
10793117,12486367,positive
10793117,12486367,neither
10793117,16889107,positive
10793117,16889107,neither
10793117,30734486,positive
10793117,30734486,neither
10793117,30734486,negative
10793117,30708948,positive
10793117,30708948,neither
10793117,25620997,positive
10793117,25620997,neither
10793117,34639341,positive
10793117,33183926,positive
10793117,33183926,neither
10793117,35417309,positive
10793117,35417309,neither
10793117,32298385,positive
10793117,32298385,neither
10793117,19581570,positive
10793117,19581570,neither
10793117,26652238,positive
10793117,26652238,neither
10793117,22035243,positive
10793117,29421445,positive
10793117,30289494,positive
10793117,30289494,neither
10793117,32063872,positive
10793117,30989104,positive
10793117,30989104,neither
10793117,35897317,positive
10793117,35897317,neither
4686331,20191942,positive
4686331,20191942,neither
4686331,21145280,positive
4686331,21145280,neither
4686331,19493288,positive
4686331,19493288,neither
4686331,15560774,positive
4686331,15560774,neither
4686331,11833858,positive
4686331,11833858,neither
4686331,11864561,positive
4686331,11864561,negative
4686331,23853567,positive
4686331,23853567,neither
4686331,24890646,positive
4686331,24890646,neither
4686331,17470414,positive
4686331,17470414,neither
4686331,17310860,positive
4686331,17310860,neither
4686331,11739821,positive
4686331,11739821,neither
4686331,17943086,positive
4686331,17943086,neither
4686331,21731134,positive
4686331,21731134,neither
4686331,18307264,positive
4686331,23070467,positive
4686331,23070467,neither
4686331,18307264,neither
4686331,24142146,positive
4686331,24142146,neither
4686331,23622394,positive
4686331,23622394,neither
4686331,20550561,positive
4686331,20550561,neither
4686331,12690569,positive
4686331,12690569,neither
4686331,12841368,positive
4686331,12841368,neither
4686331,9822755,positive
4686331,9822755,neither
4686331,24951857,positive
4686331,24951857,neither
4686331,22956821,positive
4686331,22956821,neither
4686331,10973318,positive
4686331,10973318,neither
4686331,24394344,positive
4686331,24394344,neither
4686331,16014733,positive
4686331,18424001,positive
4686331,18424001,neither
4686331,10458611,positive
4686331,10458611,neither
4686331,10615891,positive
4686331,10615891,neither
4686331,10481909,positive
4686331,10481909,neither
4686331,22942503,positive
4686331,22942503,neither
4686331,24806676,positive
4686331,24806676,neither
4686331,25355832,positive
4686331,25355832,neither
4686331,19555382,positive
4686331,19555382,neither
4686331,25316012,positive
4686331,25316012,neither
4686331,9456467,positive
4686331,9456467,neither
4686331,19412176,positive
4686331,19412176,neither
4686331,23459209,positive
4686331,23459209,neither
4686331,12044453,positive
4686331,16769955,positive
4686331,16769955,neither
4686331,14592141,positive
4686331,14592141,neither
4686331,23739970,positive
4686331,23739970,neither
4686331,15339261,positive
4686331,15339261,neither
4686331,14580598,positive
4686331,14580598,neither
4686331,22205591,positive
4686331,22205591,neither
4686331,1925546,positive
4686331,1925546,neither
4686331,21115377,positive
4686331,18094020,positive
4686331,18094020,neither
4686331,7623112,positive
4686331,7623112,neither
4686331,24780133,positive
4686331,24780133,negative
4686331,9989368,positive
4686331,9989368,neither
4686331,17557451,positive
4686331,17557451,neither
4686331,4359162,positive
4686331,4359162,negative
4686331,13379528,positive
4686331,13379528,neither
4686331,13681922,positive
4686331,4380880,positive
4686331,4380880,neither
4686331,4463568,positive
4686331,10607149,positive
4686331,10607149,neither
4686331,11568979,positive
4686331,18246980,positive
4686331,16987156,positive
